Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Rouge Park - Woodland Trail,43.80178186082014,-79.20042735921538,Trail
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Alvin Curling Public School,43.808683,-79.190103,Elementary School
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Shell,43.80322660320925,-79.19241398073378,Gas Station
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Dupont Canada,43.805926550874105,-79.19769480042692,Building
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Pleasant Corner,43.80116435360954,-79.20025373002397,Shopping Mall
"Malvern, Rouge",43.806686299999996,-79.19435340000001,FASTSIGNS,43.8078818,-79.2019677,Business Service
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Staples Print & Marketing Services,43.8003371,-79.1967334,Print Shop
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Subway,43.80109473604292,-79.20030379852142,Sandwich Place
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Tim Hortons,43.801999861382,-79.1981689631939,Coffee Shop
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Auto Camping,43.807896,-79.199733,Automotive Shop
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Chester fried express,43.8004095,-79.1991875,Fried Chicken Joint
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Hydrografica,43.80455318899776,-79.19955968856812,Design Studio
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Wendy's,43.8020084,-79.1980797,Fast Food Restaurant
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Wendy’s,43.80744841934756,-79.19905558052072,Fast Food Restaurant
"Malvern, Rouge",43.806686299999996,-79.19435340000001,MMA World Academy,43.80025935327685,-79.19522661480777,Martial Arts School
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Kaycan - SCARBOROUGH,43.8067676622576,-79.19787526130676,Building
"Malvern, Rouge",43.806686299999996,-79.19435340000001,CHICK-N-JOY,43.801053,-79.200125,Fried Chicken Joint
"Malvern, Rouge",43.806686299999996,-79.19435340000001,Charley's West Indian Foods Ltd,43.8005806,-79.1993089,Caribbean Restaurant
